enzyme	reaction	cid
UGT71G1	0.0	12304694
UGT78G1	0.0	12304694
UGT72B10	0.0	12304694
UGT74P1	0.0	12304694
UGT73A10	0.0	12304694
UGT74N1	0.0	12304694
UGT75L2	0.0	12304694
UGT85A20	0.0	12304694
UGT73Q1	0.0	12304694
UGT73A12	0.0	12304694
UGT86A5	0.0	12304694
UGT94E2	0.0	12304694
UGT84C2	0.0	12304694
UGT85B2	0.0	12304694
UGT74H5	0.0	12304694
UGT88C4	0.0	12304694
UGT74H6	0.0	12304694
UGT75E3	0.0	12304694
OleD	0.0	5280896
OleD	0.0	12304694
At_71C1	0.0	5280896
At_71C2	0.0	5280896
At_71C3	0.0	5280896
At_71C4	0.0	5280896
At_71C5	0.0	5280896
At_71B8	0.0	5280896
At_71B6	1.0	5280896
At_71B5	0.0	5280896
At_71B1	0.0	5280896
At_88A1	0.0	5280896
At_72E2	0.0	5280896
At_72E3	0.0	5280896
At_72E1	0.0	5280896
At_72D1	0.0	5280896
At_72C1	0.0	5280896
At_72B3	0.0	5280896
At_72B1	0.0	5280896
At_73C3	0.0	5280896
At_73C4	0.0	5280896
At_73C5	0.0	5280896
At_73C6	0.0	5280896
At_73C1	0.0	5280896
At_73C7	0.0	5280896
At_73B2	0.0	5280896
At_73B3	0.0	5280896
At_73B4	0.0	5280896
At_73B5	0.0	5280896
At_73B1	1.0	5280896
At_89B1	0.0	5280896
At_89C1	0.0	5280896
At_84A3	0.0	5280896
At_84A4	0.0	5280896
At_84A2	1.0	5280896
At_84A1	1.0	5280896
At_84B1	1.0	5280896
At_84B2	1.0	5280896
At_75B1	1.0	5280896
At_75D1	0.0	5280896
At_74F1	0.0	5280896
At_74F2	0.0	5280896
At_74B1	0.0	5280896
At_76E5	0.0	5280896
At_76E4	0.0	5280896
At_76E1	0.0	5280896
At_76E2	0.0	5280896
At_76E12	0.0	5280896
At_76E11	0.0	5280896
At_76C4	0.0	5280896
At_85A5	0.0	5280896
At_85A4	0.0	5280896
At_78D2	0.0	5280896
At_78D1	0.0	5280896
VVGT1	0.0	5280896
At_71C1	0.0	12304694
At_71C2	0.0	12304694
At_71C3	0.0	12304694
At_71C4	0.0	12304694
At_71C5	0.0	12304694
At_71B8	0.0	12304694
At_71B6	0.0	12304694
At_71B5	0.0	12304694
At_71B1	0.0	12304694
At_88A1	0.0	12304694
At_72E2	0.0	12304694
At_72E3	0.0	12304694
At_72E1	0.0	12304694
At_72D1	0.0	12304694
At_72C1	0.0	12304694
At_72B3	0.0	12304694
At_72B1	0.0	12304694
At_73C3	0.0	12304694
At_73C4	0.0	12304694
At_73C5	0.0	12304694
At_73C6	0.0	12304694
At_73C1	0.0	12304694
At_73C7	0.0	12304694
At_73B2	0.0	12304694
At_73B3	0.0	12304694
At_73B4	0.0	12304694
At_73B5	0.0	12304694
At_73B1	0.0	12304694
At_89B1	0.0	12304694
At_89C1	0.0	12304694
At_84A3	0.0	12304694
At_84A4	0.0	12304694
At_84A2	1.0	12304694
At_84A1	1.0	12304694
At_84B1	0.0	12304694
At_84B2	0.0	12304694
At_75B1	1.0	12304694
At_75D1	0.0	12304694
At_74F1	0.0	12304694
At_74F2	0.0	12304694
At_74B1	0.0	12304694
At_76E5	0.0	12304694
At_76E4	0.0	12304694
At_76E1	0.0	12304694
At_76E2	0.0	12304694
At_76E12	0.0	12304694
At_76E11	0.0	12304694
At_76C4	0.0	12304694
At_85A5	0.0	12304694
At_85A4	0.0	12304694
At_78D2	0.0	12304694
At_78D1	0.0	12304694
VVGT1	0.0	12304694
At_71C1	1.0	7005
At_71C2	1.0	7005
At_71C5	0.0	7005
At_71B6	0.0	7005
At_71B1	0.0	7005
At_72B1	1.0	7005
At_73C4	0.0	7005
At_73C1	0.0	7005
At_73B2	0.0	7005
At_73B3	0.0	7005
At_73B4	0.0	7005
At_73B5	0.0	7005
At_75B1	0.0	7005
At_75D1	0.0	7005
At_74F1	0.0	7005
At_74F2	0.0	7005
At_74B1	0.0	7005
At_76E1	0.0	7005
At_76E2	0.0	7005
At_76E12	0.0	7005
At_76E11	0.0	7005
At_85A4	0.0	7005
At_78D2	0.0	7005
At_71C1	1.0	7271
At_71C2	1.0	7271
At_71C5	0.0	7271
At_71B8	0.0	7271
At_71B6	0.0	7271
At_88A1	1.0	7271
At_72E2	1.0	7271
At_72D1	1.0	7271
At_72C1	1.0	7271
At_72B3	1.0	7271
At_72B1	1.0	7271
At_73C3	1.0	7271
At_73C5	1.0	7271
At_73C6	1.0	7271
At_73B3	0.0	7271
At_73B1	1.0	7271
At_75B1	0.0	7271
At_74B1	0.0	7271
At_76E1	0.0	7271
At_76E2	0.0	7271
At_76E11	0.0	7271
At_78D2	0.0	7271
At_71C3	1.0	3469
At_71C4	1.0	3469
At_71B8	0.0	3469
At_71B6	0.0	3469
At_71B5	0.0	3469
At_71B1	1.0	3469
At_88A1	0.0	3469
At_72E1	0.0	3469
At_72D1	1.0	3469
At_72C1	0.0	3469
At_72B1	1.0	3469
At_73C3	0.0	3469
At_73C4	0.0	3469
At_73C5	0.0	3469
At_73C6	0.0	3469
At_73C7	0.0	3469
At_73B2	0.0	3469
At_73B3	1.0	3469
At_73B4	1.0	3469
At_73B5	0.0	3469
At_73B1	0.0	3469
At_89B1	1.0	3469
At_89C1	0.0	3469
At_84A3	0.0	3469
At_84A4	0.0	3469
At_84A2	0.0	3469
At_84B1	0.0	3469
At_84B2	0.0	3469
At_75B1	1.0	3469
At_75D1	0.0	3469
At_74F2	0.0	3469
At_74B1	0.0	3469
At_76E5	0.0	3469
At_76E1	0.0	3469
At_76E2	0.0	3469
At_76E12	0.0	3469
At_76E11	0.0	3469
At_76C4	0.0	3469
At_85A4	0.0	3469
At_78D2	0.0	3469
At_78D1	0.0	3469
VVGT1	0.0	3469
UGT71G1	1.0	3469
UGT78G1	0.0	3469
OleD	1.0	3469
UGT72B10	1.0	3469
UGT74P1	1.0	3469
UGT73A10	1.0	3469
UGT74N1	0.0	3469
UGT75L2	0.0	3469
UGT85A20	0.0	3469
UGT73Q1	0.0	3469
UGT73A12	0.0	3469
UGT86A5	0.0	3469
UGT94E2	0.0	3469
UGT84C2	0.0	3469
UGT85B2	0.0	3469
UGT74H5	0.0	3469
UGT88C4	0.0	3469
UGT74H6	0.0	3469
UGT75E3	0.0	3469
At_71C1	1.0	2736603
At_71C2	1.0	2736603
At_71C5	0.0	2736603
At_71B6	0.0	2736603
At_88A1	1.0	2736603
At_72B3	1.0	2736603
At_72B1	1.0	2736603
At_73C3	1.0	2736603
At_73C5	1.0	2736603
At_73C6	1.0	2736603
At_73B4	0.0	2736603
At_73B5	0.0	2736603
At_75B1	0.0	2736603
At_75D1	0.0	2736603
At_74F2	1.0	2736603
At_76E11	0.0	2736603
At_71C1	1.0	637540
At_71C2	1.0	637540
At_71C3	1.0	637540
At_71C4	1.0	637540
At_71C5	0.0	637540
At_71B8	1.0	637540
At_71B6	0.0	637540
At_71B5	0.0	637540
At_71B1	1.0	637540
At_88A1	0.0	637540
At_72E2	1.0	637540
At_72C1	0.0	637540
At_72B3	0.0	637540
At_72B1	0.0	637540
At_73C3	0.0	637540
At_73C4	0.0	637540
At_73C5	0.0	637540
At_73C6	0.0	637540
At_73C1	0.0	637540
At_73C7	0.0	637540
At_73B2	0.0	637540
At_73B3	0.0	637540
At_73B4	0.0	637540
At_73B5	0.0	637540
At_73B1	0.0	637540
At_89C1	0.0	637540
At_84A3	0.0	637540
At_84A2	1.0	637540
At_84A1	1.0	637540
At_84B1	0.0	637540
At_84B2	0.0	637540
At_75B1	1.0	637540
At_76E5	0.0	637540
At_76E2	0.0	637540
At_76E12	0.0	637540
At_76E11	0.0	637540
At_76C4	0.0	637540
At_85A5	0.0	637540
At_85A4	0.0	637540
At_78D2	0.0	637540
At_78D1	0.0	637540
VVGT1	0.0	637540
UGT71G1	1.0	637540
UGT78G1	0.0	637540
OleD	0.0	637540
UGT72B10	1.0	637540
UGT74P1	0.0	637540
UGT73A10	1.0	637540
UGT74N1	0.0	637540
UGT75L2	1.0	637540
UGT85A20	0.0	637540
UGT73Q1	0.0	637540
UGT73A12	1.0	637540
UGT86A5	0.0	637540
UGT94E2	0.0	637540
UGT84C2	1.0	637540
UGT85B2	0.0	637540
UGT74H5	1.0	637540
UGT88C4	0.0	637540
UGT74H6	1.0	637540
UGT75E3	0.0	637540
At_71C1	0.0	7058
At_71C3	0.0	7058
At_71C4	0.0	7058
At_71C5	0.0	7058
At_71B8	0.0	7058
At_71B6	0.0	7058
At_71B1	0.0	7058
At_88A1	1.0	7058
At_72E2	0.0	7058
At_72D1	0.0	7058
At_72C1	0.0	7058
At_72B3	0.0	7058
At_72B1	0.0	7058
At_73C4	0.0	7058
At_73C1	0.0	7058
At_73B2	0.0	7058
At_73B3	0.0	7058
At_73B4	0.0	7058
At_73B5	0.0	7058
At_73B1	1.0	7058
At_75D1	0.0	7058
At_74F1	1.0	7058
At_74B1	1.0	7058
At_76E1	0.0	7058
At_76E2	0.0	7058
At_76E12	0.0	7058
At_76E11	0.0	7058
At_85A4	0.0	7058
At_78D2	0.0	7058
At_71C1	0.0	7257
At_71C2	0.0	7257
At_71C3	0.0	7257
At_71C4	0.0	7257
At_71C5	0.0	7257
At_71B8	0.0	7257
At_71B5	0.0	7257
At_71B1	0.0	7257
At_88A1	0.0	7257
At_72E2	1.0	7257
At_72E3	0.0	7257
At_72E1	0.0	7257
At_72D1	0.0	7257
At_72C1	0.0	7257
At_72B3	1.0	7257
At_72B1	1.0	7257
At_73C3	0.0	7257
At_73C4	0.0	7257
At_73C5	0.0	7257
At_73C6	0.0	7257
At_73C1	0.0	7257
At_73C7	0.0	7257
At_73B2	0.0	7257
At_73B3	0.0	7257
At_73B4	0.0	7257
At_73B5	0.0	7257
At_73B1	0.0	7257
At_89B1	0.0	7257
At_89C1	0.0	7257
At_84A3	0.0	7257
At_84A4	0.0	7257
At_84A2	0.0	7257
At_84A1	0.0	7257
At_84B1	0.0	7257
At_84B2	0.0	7257
At_75B1	0.0	7257
At_75D1	0.0	7257
At_74F1	0.0	7257
At_74F2	0.0	7257
At_74B1	0.0	7257
At_76E5	0.0	7257
At_76E4	0.0	7257
At_76E1	0.0	7257
At_76E2	0.0	7257
At_76E12	0.0	7257
At_76E11	0.0	7257
At_76C4	0.0	7257
At_85A5	0.0	7257
At_85A4	1.0	7257
At_78D2	0.0	7257
At_78D1	0.0	7257
VVGT1	0.0	7257
UGT71G1	0.0	7257
UGT78G1	0.0	7257
OleD	1.0	7257
UGT72B10	0.0	7257
UGT74P1	0.0	7257
UGT73A10	0.0	7257
UGT74N1	0.0	7257
UGT75L2	0.0	7257
UGT85A20	0.0	7257
UGT73Q1	0.0	7257
UGT73A12	0.0	7257
UGT86A5	0.0	7257
UGT94E2	1.0	7257
UGT84C2	0.0	7257
UGT85B2	0.0	7257
UGT74H5	0.0	7257
UGT88C4	0.0	7257
UGT74H6	0.0	7257
UGT75E3	0.0	7257
At_71C1	1.0	72
At_71C3	1.0	72
At_71C4	1.0	72
At_71B8	0.0	72
At_71B6	0.0	72
At_71B5	0.0	72
At_71B1	1.0	72
At_88A1	0.0	72
At_72D1	1.0	72
At_72C1	0.0	72
At_72B1	1.0	72
At_73C3	0.0	72
At_73C4	0.0	72
At_73C5	0.0	72
At_73C6	0.0	72
At_73C7	0.0	72
At_73B2	0.0	72
At_73B3	1.0	72
At_73B4	1.0	72
At_73B5	0.0	72
At_73B1	0.0	72
At_89B1	1.0	72
At_89C1	0.0	72
At_84A3	0.0	72
At_84A4	0.0	72
At_84A2	0.0	72
At_84A1	1.0	72
At_84B1	0.0	72
At_75B1	1.0	72
At_75D1	0.0	72
At_74F2	1.0	72
At_74B1	0.0	72
At_76E5	0.0	72
At_76E4	0.0	72
At_76E2	0.0	72
At_76E12	0.0	72
At_76E11	0.0	72
At_76C4	0.0	72
At_85A4	0.0	72
At_78D2	1.0	72
At_78D1	0.0	72
UGT71G1	1.0	72
UGT78G1	1.0	72
OleD	1.0	72
UGT72B10	1.0	72
UGT74P1	0.0	72
UGT73A10	1.0	72
UGT74N1	0.0	72
UGT75L2	1.0	72
UGT85A20	0.0	72
UGT73Q1	0.0	72
UGT73A12	1.0	72
UGT86A5	0.0	72
UGT94E2	0.0	72
UGT84C2	1.0	72
UGT85B2	0.0	72
UGT74H5	1.0	72
UGT88C4	0.0	72
UGT74H6	0.0	72
UGT75E3	0.0	72
At_71C1	1.0	689043
At_71C2	1.0	689043
At_71C3	1.0	689043
At_71C4	1.0	689043
At_71C5	0.0	689043
At_71B8	1.0	689043
At_71B6	0.0	689043
At_71B5	0.0	689043
At_71B1	1.0	689043
At_88A1	0.0	689043
At_72E2	1.0	689043
At_72E3	1.0	689043
At_72E1	0.0	689043
At_72D1	0.0	689043
At_72C1	0.0	689043
At_72B3	0.0	689043
At_72B1	0.0	689043
At_73C3	0.0	689043
At_73C4	0.0	689043
At_73C5	0.0	689043
At_73C6	0.0	689043
At_73C7	0.0	689043
At_73B2	0.0	689043
At_73B3	1.0	689043
At_73B4	0.0	689043
At_73B5	1.0	689043
At_73B1	0.0	689043
At_89B1	1.0	689043
At_89C1	0.0	689043
At_84A3	1.0	689043
At_84A4	1.0	689043
At_84A2	1.0	689043
At_84A1	1.0	689043
At_84B1	1.0	689043
At_84B2	0.0	689043
At_75B1	1.0	689043
At_75D1	0.0	689043
At_74F2	0.0	689043
At_74B1	0.0	689043
At_76E5	0.0	689043
At_76E4	0.0	689043
At_76E1	0.0	689043
At_76E2	0.0	689043
At_76E12	1.0	689043
At_76E11	0.0	689043
At_76C4	0.0	689043
At_85A5	0.0	689043
At_85A4	0.0	689043
At_78D2	1.0	689043
At_78D1	0.0	689043
VVGT1	1.0	689043
UGT71G1	1.0	689043
UGT78G1	1.0	689043
UGT72B10	1.0	689043
UGT74P1	0.0	689043
UGT73A10	1.0	689043
UGT74N1	0.0	689043
UGT75L2	1.0	689043
UGT85A20	1.0	689043
UGT73Q1	0.0	689043
UGT73A12	1.0	689043
UGT86A5	0.0	689043
UGT94E2	0.0	689043
UGT84C2	1.0	689043
UGT85B2	0.0	689043
UGT74H5	1.0	689043
UGT88C4	0.0	689043
UGT74H6	0.0	689043
UGT75E3	1.0	689043
At_71C1	0.0	637541
At_71C2	0.0	637541
At_71C3	0.0	637541
At_71C5	0.0	637541
At_71B6	0.0	637541
At_71B5	0.0	637541
At_71B1	0.0	637541
At_88A1	0.0	637541
At_72E2	1.0	637541
At_72C1	0.0	637541
At_72B3	0.0	637541
At_72B1	0.0	637541
At_73C3	0.0	637541
At_73C4	0.0	637541
At_73C5	0.0	637541
At_73C6	0.0	637541
At_73C1	0.0	637541
At_73C7	0.0	637541
At_73B2	0.0	637541
At_73B3	0.0	637541
At_73B4	0.0	637541
At_73B5	0.0	637541
At_73B1	0.0	637541
At_89C1	0.0	637541
At_84A3	0.0	637541
At_84A4	0.0	637541
At_84A2	0.0	637541
At_84A1	0.0	637541
At_84B1	0.0	637541
At_84B2	0.0	637541
At_75B1	1.0	637541
At_74F2	0.0	637541
At_74B1	0.0	637541
At_76E5	0.0	637541
At_76E2	0.0	637541
At_76E12	0.0	637541
At_76E11	0.0	637541
At_76C4	0.0	637541
At_85A5	0.0	637541
At_85A4	0.0	637541
At_78D2	0.0	637541
At_78D1	0.0	637541
VVGT1	0.0	637541
UGT71G1	0.0	637541
UGT78G1	0.0	637541
UGT72B10	0.0	637541
UGT74P1	0.0	637541
UGT73A10	0.0	637541
UGT74N1	0.0	637541
UGT75L2	1.0	637541
UGT85A20	0.0	637541
UGT73Q1	0.0	637541
UGT73A12	1.0	637541
UGT86A5	0.0	637541
UGT94E2	0.0	637541
UGT84C2	1.0	637541
UGT85B2	0.0	637541
UGT74H5	0.0	637541
UGT88C4	0.0	637541
UGT74H6	0.0	637541
UGT75E3	0.0	637541
OleD	0.0	637541
OleD	0.0	689043
At_71C1	0.0	5280567
At_71C3	0.0	5280567
At_71C4	0.0	5280567
At_71C5	1.0	5280567
At_71B8	0.0	5280567
At_71B5	0.0	5280567
At_71B1	1.0	5280567
At_88A1	1.0	5280567
At_72E2	0.0	5280567
At_72E3	0.0	5280567
At_72E1	0.0	5280567
At_72D1	1.0	5280567
At_72C1	0.0	5280567
At_72B3	1.0	5280567
At_72B1	1.0	5280567
At_73C3	1.0	5280567
At_73C4	0.0	5280567
At_73C5	1.0	5280567
At_73C6	1.0	5280567
At_73C1	1.0	5280567
At_73C7	0.0	5280567
At_73B2	0.0	5280567
At_73B3	1.0	5280567
At_73B4	1.0	5280567
At_73B5	0.0	5280567
At_73B1	1.0	5280567
At_89B1	0.0	5280567
At_89C1	0.0	5280567
At_84A3	1.0	5280567
At_84A4	0.0	5280567
At_84A2	1.0	5280567
At_84A1	1.0	5280567
At_84B1	1.0	5280567
At_84B2	0.0	5280567
At_75B1	1.0	5280567
At_75D1	0.0	5280567
At_74F1	0.0	5280567
At_74F2	1.0	5280567
At_76E5	0.0	5280567
At_76E4	0.0	5280567
At_76E1	0.0	5280567
At_76E12	1.0	5280567
At_76E11	1.0	5280567
At_76C4	0.0	5280567
At_85A5	0.0	5280567
At_85A4	0.0	5280567
At_78D2	1.0	5280567
At_78D1	0.0	5280567
VVGT1	1.0	5280567
UGT71G1	0.0	5280567
UGT78G1	0.0	5280567
UGT72B10	0.0	5280567
UGT74P1	0.0	5280567
UGT73A10	0.0	5280567
UGT74N1	1.0	5280567
UGT75L2	0.0	5280567
UGT85A20	0.0	5280567
UGT73Q1	0.0	5280567
UGT73A12	0.0	5280567
UGT86A5	0.0	5280567
UGT94E2	0.0	5280567
UGT84C2	1.0	5280567
UGT85B2	0.0	5280567
UGT74H5	1.0	5280567
UGT88C4	1.0	5280567
UGT74H6	1.0	5280567
UGT75E3	1.0	5280567
At_71C1	0.0	980
At_71C3	0.0	980
At_71C4	0.0	980
At_71C5	0.0	980
At_71B8	0.0	980
At_71B1	0.0	980
At_72E2	0.0	980
At_72D1	0.0	980
At_72C1	0.0	980
At_72B3	0.0	980
At_73C4	0.0	980
At_73C1	0.0	980
At_73B2	0.0	980
At_73B3	0.0	980
At_73B4	0.0	980
At_73B5	0.0	980
At_73B1	0.0	980
At_89B1	0.0	980
At_75B1	0.0	980
At_75D1	0.0	980
At_74F1	0.0	980
At_74F2	0.0	980
At_74B1	0.0	980
At_76E1	0.0	980
At_76E2	0.0	980
At_76E12	0.0	980
At_76E11	0.0	980
At_85A4	0.0	980
At_78D2	0.0	980
At_71C1	0.0	7815
At_71C3	0.0	7815
At_71C4	0.0	7815
At_71C5	0.0	7815
At_71B8	0.0	7815
At_71B6	0.0	7815
At_71B1	0.0	7815
At_88A1	1.0	7815
At_72E2	0.0	7815
At_72D1	0.0	7815
At_72C1	0.0	7815
At_72B3	0.0	7815
At_73C4	0.0	7815
At_73B2	0.0	7815
At_73B3	0.0	7815
At_73B4	0.0	7815
At_73B5	0.0	7815
At_73B1	1.0	7815
At_89B1	0.0	7815
At_75B1	0.0	7815
At_75D1	0.0	7815
At_74F1	1.0	7815
At_74B1	1.0	7815
At_76E1	0.0	7815
At_76E2	0.0	7815
At_76E12	0.0	7815
At_85A4	0.0	7815
At_78D2	0.0	7815
At_71C1	0.0	445858
At_71C2	0.0	445858
At_71C3	0.0	445858
At_71C4	0.0	445858
At_71C5	0.0	445858
At_71B8	0.0	445858
At_71B6	0.0	445858
At_71B5	0.0	445858
At_71B1	0.0	445858
At_88A1	0.0	445858
At_72E2	1.0	445858
At_72E3	1.0	445858
At_72E1	0.0	445858
At_72D1	0.0	445858
At_72C1	0.0	445858
At_72B3	0.0	445858
At_72B1	0.0	445858
At_73C3	0.0	445858
At_73C4	0.0	445858
At_73C5	0.0	445858
At_73C6	0.0	445858
At_73C1	0.0	445858
At_73C7	0.0	445858
At_73B2	0.0	445858
At_73B3	1.0	445858
At_73B4	0.0	445858
At_73B1	0.0	445858
At_89B1	0.0	445858
At_84A3	1.0	445858
At_84A4	1.0	445858
At_84A2	1.0	445858
At_84A1	1.0	445858
At_84B1	1.0	445858
At_84B2	0.0	445858
At_75B1	1.0	445858
At_74F1	0.0	445858
At_74F2	0.0	445858
At_74B1	0.0	445858
At_76E5	0.0	445858
At_76E4	0.0	445858
At_76E1	0.0	445858
At_76E2	0.0	445858
At_76E12	0.0	445858
At_76E11	0.0	445858
At_76C4	0.0	445858
At_85A5	0.0	445858
At_85A4	0.0	445858
At_78D2	0.0	445858
At_78D1	0.0	445858
VVGT1	0.0	445858
UGT71G1	0.0	445858
UGT78G1	0.0	445858
UGT72B10	0.0	445858
UGT74P1	0.0	445858
UGT73A10	1.0	445858
UGT74N1	0.0	445858
UGT75L2	1.0	445858
UGT85A20	0.0	445858
UGT73Q1	0.0	445858
UGT73A12	0.0	445858
UGT86A5	0.0	445858
UGT94E2	0.0	445858
UGT84C2	1.0	445858
UGT85B2	0.0	445858
UGT74H5	0.0	445858
UGT88C4	0.0	445858
UGT74H6	0.0	445858
UGT75E3	1.0	445858
At_71C1	1.0	637542
At_71C2	1.0	637542
At_71C3	0.0	637542
At_71C4	0.0	637542
At_71C5	0.0	637542
At_71B8	0.0	637542
At_71B6	0.0	637542
At_71B5	0.0	637542
At_71B1	0.0	637542
At_88A1	0.0	637542
At_72E2	1.0	637542
At_72E1	0.0	637542
At_72C1	0.0	637542
At_72B3	0.0	637542
At_72B1	0.0	637542
At_73C3	0.0	637542
At_73C4	0.0	637542
At_73C5	0.0	637542
At_73C6	0.0	637542
At_73C1	0.0	637542
At_73C7	0.0	637542
At_73B2	0.0	637542
At_73B3	1.0	637542
At_73B4	0.0	637542
At_73B5	0.0	637542
At_73B1	0.0	637542
At_89C1	0.0	637542
At_84A3	1.0	637542
At_84A4	1.0	637542
At_84A2	1.0	637542
At_84A1	1.0	637542
At_84B1	1.0	637542
At_84B2	0.0	637542
At_75B1	1.0	637542
At_74F2	0.0	637542
At_76E5	0.0	637542
At_76E2	0.0	637542
At_76E12	0.0	637542
At_76E11	0.0	637542
At_76C4	0.0	637542
At_85A5	0.0	637542
At_85A4	0.0	637542
At_78D2	0.0	637542
At_78D1	0.0	637542
VVGT1	0.0	637542
UGT71G1	0.0	637542
UGT78G1	0.0	637542
UGT72B10	0.0	637542
UGT74P1	0.0	637542
UGT73A10	1.0	637542
UGT74N1	0.0	637542
UGT75L2	1.0	637542
UGT85A20	1.0	637542
UGT73Q1	0.0	637542
UGT73A12	1.0	637542
UGT86A5	0.0	637542
UGT94E2	0.0	637542
UGT84C2	1.0	637542
UGT85B2	0.0	637542
UGT74H5	1.0	637542
UGT88C4	0.0	637542
UGT74H6	0.0	637542
UGT75E3	1.0	637542
OleD	0.0	445858
OleD	1.0	135
OleD	1.0	637542
At_71C1	0.0	135
At_71C2	0.0	135
At_71C3	1.0	135
At_71C4	1.0	135
At_71C5	0.0	135
At_71B8	0.0	135
At_71B5	0.0	135
At_71B1	1.0	135
At_72E2	0.0	135
At_72E3	0.0	135
At_72E1	0.0	135
At_72C1	0.0	135
At_72B3	0.0	135
At_72B1	0.0	135
At_73C3	0.0	135
At_73C4	0.0	135
At_73C5	0.0	135
At_73C6	0.0	135
At_73C1	0.0	135
At_73C7	0.0	135
At_73B2	0.0	135
At_73B3	1.0	135
At_73B4	1.0	135
At_73B5	0.0	135
At_73B1	0.0	135
At_89B1	1.0	135
At_89C1	0.0	135
At_84A3	0.0	135
At_84A4	1.0	135
At_84A2	1.0	135
At_84A1	1.0	135
At_84B1	0.0	135
At_84B2	0.0	135
At_75B1	1.0	135
At_75D1	0.0	135
At_74F2	1.0	135
At_74B1	0.0	135
At_76E5	0.0	135
At_76E4	0.0	135
At_76E1	0.0	135
At_76E2	0.0	135
At_76E12	0.0	135
At_76E11	0.0	135
At_76C4	0.0	135
At_85A5	0.0	135
At_85A4	0.0	135
At_78D2	1.0	135
At_78D1	0.0	135
VVGT1	0.0	135
UGT71G1	1.0	135
UGT78G1	0.0	135
UGT72B10	0.0	135
UGT74P1	0.0	135
UGT73A10	1.0	135
UGT74N1	0.0	135
UGT75L2	1.0	135
UGT85A20	1.0	135
UGT73Q1	0.0	135
UGT73A12	0.0	135
UGT86A5	0.0	135
UGT94E2	0.0	135
UGT84C2	0.0	135
UGT85B2	0.0	135
UGT74H5	1.0	135
UGT88C4	0.0	135
UGT74H6	0.0	135
UGT75E3	0.0	135
OleD	1.0	5280567
At_71C2	1.0	5281416
At_71C3	1.0	5281416
At_71C4	1.0	5281416
At_71C5	1.0	5281416
At_71B8	1.0	5281416
At_71B1	1.0	5281416
At_88A1	1.0	5281416
At_72E2	1.0	5281416
At_72E3	1.0	5281416
At_72D1	1.0	5281416
At_72C1	1.0	5281416
At_72B3	1.0	5281416
At_72B1	1.0	5281416
At_73C3	1.0	5281416
At_73C4	0.0	5281416
At_73C5	1.0	5281416
At_73C6	1.0	5281416
At_73C1	1.0	5281416
At_73C7	1.0	5281416
At_73B3	1.0	5281416
At_73B4	1.0	5281416
At_73B5	1.0	5281416
At_73B1	1.0	5281416
At_89B1	1.0	5281416
At_84A2	1.0	5281416
At_84A1	1.0	5281416
At_75B1	1.0	5281416
At_74F1	1.0	5281416
At_74F2	1.0	5281416
At_74B1	1.0	5281416
At_76E5	0.0	5281416
At_76E1	1.0	5281416
At_76E12	1.0	5281416
At_76E11	1.0	5281416
At_76C4	1.0	5281416
At_85A5	0.0	5281416
At_85A4	0.0	5281416
At_78D2	1.0	5281416
At_78D1	0.0	5281416
VVGT1	1.0	5281416
UGT71G1	1.0	5281416
UGT78G1	1.0	5281416
UGT72B10	1.0	5281416
UGT74P1	1.0	5281416
UGT73A10	1.0	5281416
UGT74N1	1.0	5281416
UGT75L2	1.0	5281416
UGT85A20	1.0	5281416
UGT73Q1	1.0	5281416
UGT73A12	1.0	5281416
UGT86A5	0.0	5281416
UGT94E2	1.0	5281416
UGT84C2	1.0	5281416
UGT85B2	0.0	5281416
UGT74H5	1.0	5281416
UGT88C4	0.0	5281416
UGT74H6	1.0	5281416
UGT75E3	0.0	5281416
At_71C1	1.0	5280460
At_71C2	1.0	5280460
At_71C3	1.0	5280460
At_71C4	1.0	5280460
At_71C5	1.0	5280460
At_71D1	1.0	5280460
At_71B8	1.0	5280460
At_71B5	1.0	5280460
At_71B1	1.0	5280460
At_88A1	1.0	5280460
At_72E2	1.0	5280460
At_72E3	1.0	5280460
At_72D1	1.0	5280460
At_72C1	1.0	5280460
At_72B3	1.0	5280460
At_72B1	1.0	5280460
At_73C3	1.0	5280460
At_73C4	0.0	5280460
At_73C5	1.0	5280460
At_73C6	1.0	5280460
At_73C1	1.0	5280460
At_73C7	1.0	5280460
At_73B3	1.0	5280460
At_73B4	1.0	5280460
At_73B5	1.0	5280460
At_73B1	1.0	5280460
At_89B1	1.0	5280460
At_89C1	0.0	5280460
At_84A3	1.0	5280460
At_84A2	1.0	5280460
At_84A1	1.0	5280460
At_84B1	0.0	5280460
At_84B2	1.0	5280460
At_74F1	1.0	5280460
At_74F2	1.0	5280460
At_76E5	0.0	5280460
At_76E4	1.0	5280460
At_76E1	1.0	5280460
At_76E12	1.0	5280460
At_76E11	1.0	5280460
At_76C4	0.0	5280460
At_85A5	0.0	5280460
At_85A4	0.0	5280460
At_78D2	1.0	5280460
VVGT1	1.0	5280460
UGT71G1	0.0	5280460
UGT78G1	0.0	5280460
UGT72B10	0.0	5280460
UGT74P1	0.0	5280460
UGT73A10	0.0	5280460
UGT74N1	0.0	5280460
UGT75L2	0.0	5280460
UGT85A20	0.0	5280460
UGT73Q1	1.0	5280460
UGT73A12	1.0	5280460
UGT86A5	0.0	5280460
UGT94E2	0.0	5280460
UGT84C2	0.0	5280460
UGT85B2	0.0	5280460
UGT74H5	1.0	5280460
